household_id,cluster,cluster_name,r_score,f_score,m_score,rfm_code,has_demographics
2340,0,Champions,2,4,4,244,False
2341,3,Loyal Actives,3,5,5,355,True
2342,0,Champions,5,5,5,555,True
2343,0,Champions,5,5,4,554,True
2344,3,Loyal Actives,4,3,3,433,False
2345,3,Loyal Actives,5,3,4,534,False
2346,2,Declining,2,1,2,212,False
2347,0,Champions,3,4,4,344,True
2349,0,Champions,3,3,3,333,False
2350,1,Truly Lapsed,1,2,2,122,False
2351,0,Champions,4,5,5,455,True
2352,2,Declining,2,3,2,232,False
2353,2,Declining,1,1,1,111,False
2354,0,Champions,3,3,4,334,False
2355,2,Declining,1,1,1,111,False
2356,2,Declining,1,3,2,132,False
2357,2,Declining,1,2,1,121,False
2358,3,Loyal Actives,3,3,3,333,False
2359,0,Champions,3,5,4,354,True
2360,0,Champions,4,5,5,455,True
2361,3,Loyal Actives,3,4,5,345,True
2362,2,Declining,5,1,1,511,False
2363,2,Declining,3,2,2,322,False
2364,3,Loyal Actives,3,4,5,345,True
2366,0,Champions,4,5,5,455,False
2367,3,Loyal Actives,3,4,4,344,True
2368,3,Loyal Actives,5,2,3,523,False
2369,0,Champions,5,3,4,534,False
2370,3,Loyal Actives,3,5,5,355,True
2371,3,Loyal Actives,2,3,2,232,False
2372,3,Loyal Actives,3,3,4,334,False
2373,2,Declining,1,4,4,144,False
2374,3,Loyal Actives,3,3,5,335,True
2375,3,Loyal Actives,4,4,4,444,False
2376,0,Champions,5,5,4,554,True
2377,0,Champions,4,3,2,432,False
2378,3,Loyal Actives,4,5,5,455,True
2379,3,Loyal Actives,2,2,2,222,False
2380,0,Champions,4,5,5,455,True
2381,3,Loyal Actives,5,3,3,533,False
2382,2,Declining,1,2,2,122,False
2383,2,Declining,5,1,1,511,False
2384,1,Truly Lapsed,1,1,1,111,False
2385,0,Champions,2,5,5,255,False
2386,3,Loyal Actives,3,2,2,322,False
2387,2,Declining,2,1,2,212,False
2388,3,Loyal Actives,2,3,3,233,False
2389,3,Loyal Actives,3,3,2,332,False
2390,2,Declining,1,2,2,122,True
2391,2,Declining,1,2,1,121,False
2392,2,Declining,2,2,3,223,False
2393,3,Loyal Actives,5,3,4,534,True
2394,0,Champions,2,3,2,232,False
2395,3,Loyal Actives,3,5,4,354,False
2396,2,Declining,3,1,1,311,False
2397,1,Truly Lapsed,1,2,3,123,True
2398,2,Declining,3,3,3,333,False
2399,1,Truly Lapsed,1,1,1,111,False
2400,0,Champions,4,5,5,455,True
2401,2,Declining,2,3,2,232,False
2402,2,Declining,2,2,3,223,False
2403,2,Declining,1,1,1,111,False
2404,1,Truly Lapsed,4,1,1,411,False
2405,0,Champions,3,4,4,344,True
2406,3,Loyal Actives,5,4,4,544,True
2407,3,Loyal Actives,3,5,5,355,True
2408,2,Declining,5,2,3,523,False
2410,3,Loyal Actives,5,3,3,533,False
2411,2,Declining,1,3,3,133,True
2412,3,Loyal Actives,4,5,5,455,False
2413,2,Declining,1,1,1,111,False
2414,2,Declining,1,1,1,111,False
2415,3,Loyal Actives,5,2,2,522,False
2416,3,Loyal Actives,3,4,4,344,False
2417,1,Truly Lapsed,1,1,1,111,False
2418,3,Loyal Actives,4,4,3,443,False
2419,2,Declining,1,2,2,122,False
2420,3,Loyal Actives,5,3,4,534,True
2421,3,Loyal Actives,5,3,5,535,True
2422,1,Truly Lapsed,1,1,1,111,False
2423,3,Loyal Actives,1,2,3,123,False
2424,3,Loyal Actives,3,4,4,344,False
2425,0,Champions,3,3,3,333,False
2426,0,Champions,2,4,3,243,True
2427,0,Champions,5,5,5,555,True
2428,0,Champions,2,1,1,211,False
2429,2,Declining,1,3,3,133,False
2430,3,Loyal Actives,3,2,3,323,False
2431,2,Declining,2,2,2,222,False
2432,3,Loyal Actives,3,5,5,355,True
2433,2,Declining,1,2,2,122,False
2434,2,Declining,2,1,2,212,False
2435,3,Loyal Actives,4,3,4,434,True
2436,2,Declining,1,1,1,111,False
2437,3,Loyal Actives,2,3,4,234,True
2438,3,Loyal Actives,4,5,3,453,False
2439,2,Declining,2,2,1,221,False
2440,3,Loyal Actives,3,4,3,343,False
2441,3,Loyal Actives,3,3,2,332,False
2442,2,Declining,3,2,2,322,False
2443,1,Truly Lapsed,1,4,3,143,False
2445,3,Loyal Actives,5,4,5,545,True
2446,3,Loyal Actives,4,5,5,455,True
2447,3,Loyal Actives,3,4,5,345,True
2448,3,Loyal Actives,5,5,5,555,True
2449,3,Loyal Actives,3,5,5,355,True
2450,3,Loyal Actives,3,3,3,333,False
2451,3,Loyal Actives,4,5,5,455,False
2452,3,Loyal Actives,5,4,4,544,False
2453,3,Loyal Actives,5,4,4,544,True
2454,2,Declining,2,2,1,221,False
